company,industry,signal,location
Reliance Industries,Power,bitumen required for highway construction,India
UltraTech Cement,Chemical,diesel required for logistics fleet,India
UltraTech Cement,Construction,industrial boiler installation,India
JSW Steel,Chemical,solvent chemical extraction project,India
Indian Oil Logistics,Steel,marine vessel fuel requirement,India
JSW Steel,Chemical,diesel required for logistics fleet,India
ONGC Petro,Chemical,industrial boiler installation,India
Indian Oil Logistics,Chemical,new captive power plant installed,India
ONGC Petro,Construction,marine vessel fuel requirement,India
UltraTech Cement,Chemical,diesel required for logistics fleet,India
UltraTech Cement,Power,marine vessel fuel requirement,India
ONGC Petro,Chemical,industrial boiler installation,India
UltraTech Cement,Construction,industrial boiler installation,India
Indian Oil Logistics,Chemical,industrial boiler installation,India
Tata Steel,Shipping,diesel required for logistics fleet,India
Adani Power,Steel,industrial boiler installation,India
Indian Oil Logistics,Chemical,solvent chemical extraction project,India
Reliance Industries,Shipping,diesel required for logistics fleet,India
Reliance Industries,Power,diesel required for logistics fleet,India
Indian Oil Logistics,Steel,solvent chemical extraction project,India
UltraTech Cement,Chemical,industrial boiler installation,India
JSW Steel,Steel,solvent chemical extraction project,India
Reliance Industries,Construction,solvent chemical extraction project,India
ONGC Petro,Construction,bitumen required for highway construction,India
Indian Oil Logistics,Power,bitumen required for highway construction,India
Adani Power,Power,industrial boiler installation,India
Adani Power,Shipping,solvent chemical extraction project,India
UltraTech Cement,Construction,solvent chemical extraction project,India
Reliance Industries,Power,marine vessel fuel requirement,India
L&T Construction,Construction,bitumen required for highway construction,India
Reliance Industries,Steel,marine vessel fuel requirement,India
JSW Steel,Chemical,solvent chemical extraction project,India
JSW Steel,Steel,solvent chemical extraction project,India
JSW Steel,Construction,marine vessel fuel requirement,India
ONGC Petro,Construction,bitumen required for highway construction,India
L&T Construction,Power,marine vessel fuel requirement,India
JSW Steel,Shipping,diesel required for logistics fleet,India
Indian Oil Logistics,Power,marine vessel fuel requirement,India
ONGC Petro,Steel,industrial boiler installation,India
ONGC Petro,Construction,new captive power plant installed,India
Adani Power,Steel,marine vessel fuel requirement,India
Tata Steel,Power,marine vessel fuel requirement,India
ONGC Petro,Shipping,diesel required for logistics fleet,India
Indian Oil Logistics,Construction,marine vessel fuel requirement,India
Adani Power,Power,solvent chemical extraction project,India
Indian Oil Logistics,Construction,new captive power plant installed,India
ONGC Petro,Construction,solvent chemical extraction project,India
Reliance Industries,Shipping,industrial boiler installation,India
L&T Construction,Chemical,industrial boiler installation,India
UltraTech Cement,Chemical,industrial boiler installation,India
Reliance Industries,Power,industrial boiler installation,India
ONGC Petro,Power,new captive power plant installed,India
UltraTech Cement,Shipping,industrial boiler installation,India
JSW Steel,Power,bitumen required for highway construction,India
UltraTech Cement,Construction,bitumen required for highway construction,India
Adani Power,Steel,solvent chemical extraction project,India
Adani Power,Power,bitumen required for highway construction,India
UltraTech Cement,Chemical,solvent chemical extraction project,India
Adani Power,Shipping,diesel required for logistics fleet,India
L&T Construction,Shipping,bitumen required for highway construction,India
Indian Oil Logistics,Steel,marine vessel fuel requirement,India
Indian Oil Logistics,Chemical,industrial boiler installation,India
Tata Steel,Shipping,bitumen required for highway construction,India
Indian Oil Logistics,Power,bitumen required for highway construction,India
Adani Power,Chemical,industrial boiler installation,India
L&T Construction,Chemical,new captive power plant installed,India
Adani Power,Power,diesel required for logistics fleet,India
ONGC Petro,Steel,diesel required for logistics fleet,India
JSW Steel,Chemical,solvent chemical extraction project,India
Indian Oil Logistics,Chemical,new captive power plant installed,India
Indian Oil Logistics,Shipping,industrial boiler installation,India
ONGC Petro,Chemical,new captive power plant installed,India
Tata Steel,Chemical,marine vessel fuel requirement,India
JSW Steel,Steel,solvent chemical extraction project,India
Adani Power,Shipping,solvent chemical extraction project,India
JSW Steel,Shipping,bitumen required for highway construction,India
UltraTech Cement,Construction,bitumen required for highway construction,India
L&T Construction,Chemical,industrial boiler installation,India
JSW Steel,Steel,bitumen required for highway construction,India
Reliance Industries,Construction,bitumen required for highway construction,India
Tata Steel,Power,diesel required for logistics fleet,India
JSW Steel,Shipping,marine vessel fuel requirement,India
ONGC Petro,Power,new captive power plant installed,India
JSW Steel,Construction,industrial boiler installation,India
UltraTech Cement,Steel,industrial boiler installation,India
Tata Steel,Shipping,new captive power plant installed,India
Reliance Industries,Steel,marine vessel fuel requirement,India
UltraTech Cement,Construction,bitumen required for highway construction,India
UltraTech Cement,Power,diesel required for logistics fleet,India
Tata Steel,Shipping,marine vessel fuel requirement,India
Reliance Industries,Construction,diesel required for logistics fleet,India
Adani Power,Power,diesel required for logistics fleet,India
JSW Steel,Chemical,industrial boiler installation,India
UltraTech Cement,Power,diesel required for logistics fleet,India
Tata Steel,Power,bitumen required for highway construction,India
Reliance Industries,Chemical,marine vessel fuel requirement,India
Tata Steel,Steel,bitumen required for highway construction,India
Tata Steel,Steel,new captive power plant installed,India
Adani Power,Power,bitumen required for highway construction,India
Tata Steel,Steel,marine vessel fuel requirement,India
Reliance Industries,Shipping,diesel required for logistics fleet,India
Reliance Industries,Chemical,new captive power plant installed,India
L&T Construction,Steel,new captive power plant installed,India
Adani Power,Shipping,marine vessel fuel requirement,India
JSW Steel,Power,solvent chemical extraction project,India
JSW Steel,Chemical,marine vessel fuel requirement,India
L&T Construction,Steel,industrial boiler installation,India
ONGC Petro,Shipping,marine vessel fuel requirement,India
UltraTech Cement,Power,industrial boiler installation,India
Indian Oil Logistics,Construction,diesel required for logistics fleet,India
JSW Steel,Construction,new captive power plant installed,India
Indian Oil Logistics,Shipping,diesel required for logistics fleet,India
Tata Steel,Power,diesel required for logistics fleet,India
L&T Construction,Steel,new captive power plant installed,India
Reliance Industries,Power,bitumen required for highway construction,India
Adani Power,Power,solvent chemical extraction project,India
JSW Steel,Power,marine vessel fuel requirement,India
Reliance Industries,Power,solvent chemical extraction project,India
L&T Construction,Shipping,solvent chemical extraction project,India
Reliance Industries,Chemical,new captive power plant installed,India
L&T Construction,Power,diesel required for logistics fleet,India
Tata Steel,Shipping,solvent chemical extraction project,India
Reliance Industries,Construction,industrial boiler installation,India
Indian Oil Logistics,Power,solvent chemical extraction project,India
UltraTech Cement,Steel,new captive power plant installed,India
L&T Construction,Power,new captive power plant installed,India
Adani Power,Construction,marine vessel fuel requirement,India
Adani Power,Steel,bitumen required for highway construction,India
JSW Steel,Shipping,new captive power plant installed,India
Adani Power,Steel,diesel required for logistics fleet,India
JSW Steel,Construction,bitumen required for highway construction,India
L&T Construction,Construction,marine vessel fuel requirement,India
Indian Oil Logistics,Shipping,solvent chemical extraction project,India
ONGC Petro,Construction,new captive power plant installed,India
ONGC Petro,Steel,solvent chemical extraction project,India
Reliance Industries,Shipping,bitumen required for highway construction,India
UltraTech Cement,Chemical,diesel required for logistics fleet,India
UltraTech Cement,Power,bitumen required for highway construction,India
Indian Oil Logistics,Construction,industrial boiler installation,India
Reliance Industries,Steel,new captive power plant installed,India
JSW Steel,Chemical,solvent chemical extraction project,India
L&T Construction,Power,marine vessel fuel requirement,India
Tata Steel,Steel,industrial boiler installation,India
JSW Steel,Chemical,bitumen required for highway construction,India
L&T Construction,Shipping,solvent chemical extraction project,India
Indian Oil Logistics,Shipping,diesel required for logistics fleet,India
ONGC Petro,Steel,marine vessel fuel requirement,India
Adani Power,Steel,solvent chemical extraction project,India
Reliance Industries,Power,bitumen required for highway construction,India
Tata Steel,Chemical,diesel required for logistics fleet,India
Reliance Industries,Shipping,diesel required for logistics fleet,India
Indian Oil Logistics,Shipping,solvent chemical extraction project,India
L&T Construction,Power,solvent chemical extraction project,India
UltraTech Cement,Chemical,diesel required for logistics fleet,India
Indian Oil Logistics,Construction,marine vessel fuel requirement,India
UltraTech Cement,Steel,solvent chemical extraction project,India
JSW Steel,Chemical,solvent chemical extraction project,India
L&T Construction,Steel,diesel required for logistics fleet,India
Reliance Industries,Construction,marine vessel fuel requirement,India
ONGC Petro,Power,industrial boiler installation,India
Adani Power,Chemical,industrial boiler installation,India
Indian Oil Logistics,Power,bitumen required for highway construction,India
UltraTech Cement,Chemical,new captive power plant installed,India
L&T Construction,Construction,industrial boiler installation,India
Tata Steel,Power,marine vessel fuel requirement,India
UltraTech Cement,Steel,new captive power plant installed,India
ONGC Petro,Construction,marine vessel fuel requirement,India
JSW Steel,Steel,bitumen required for highway construction,India
JSW Steel,Construction,bitumen required for highway construction,India
JSW Steel,Construction,marine vessel fuel requirement,India
L&T Construction,Power,industrial boiler installation,India
Tata Steel,Chemical,solvent chemical extraction project,India
JSW Steel,Shipping,marine vessel fuel requirement,India
UltraTech Cement,Chemical,bitumen required for highway construction,India
Tata Steel,Shipping,bitumen required for highway construction,India
Adani Power,Steel,diesel required for logistics fleet,India
Tata Steel,Chemical,bitumen required for highway construction,India
UltraTech Cement,Steel,new captive power plant installed,India
L&T Construction,Chemical,solvent chemical extraction project,India
Indian Oil Logistics,Power,marine vessel fuel requirement,India
UltraTech Cement,Chemical,new captive power plant installed,India
Adani Power,Construction,industrial boiler installation,India
UltraTech Cement,Steel,solvent chemical extraction project,India
UltraTech Cement,Chemical,bitumen required for highway construction,India
ONGC Petro,Steel,diesel required for logistics fleet,India
Tata Steel,Steel,solvent chemical extraction project,India
ONGC Petro,Shipping,bitumen required for highway construction,India
Adani Power,Chemical,new captive power plant installed,India
Adani Power,Power,bitumen required for highway construction,India
JSW Steel,Power,solvent chemical extraction project,India
Tata Steel,Power,marine vessel fuel requirement,India
ONGC Petro,Power,marine vessel fuel requirement,India
JSW Steel,Power,new captive power plant installed,India
Tata Steel,Chemical,new captive power plant installed,India
ONGC Petro,Steel,industrial boiler installation,India
JSW Steel,Power,new captive power plant installed,India
Adani Power,Steel,diesel required for logistics fleet,India
Indian Oil Logistics,Steel,new captive power plant installed,India
JSW Steel,Shipping,new captive power plant installed,India
Tata Steel,Chemical,industrial boiler installation,India
